type,listed_in,total
Movie,"Action & Adventure, Anime Features, International Movies",12
Movie,"Children & Family Movies",6
"TV Show","Kids' TV",5
"TV Show","Reality TV",4
Movie,"Children & Family Movies, Comedies",3
Movie,Documentaries,2
"TV Show","International TV Shows, TV Dramas, TV Mysteries",2
"TV Show","Crime TV Shows, International TV Shows, TV Action & Adventure",2
"TV Show","International TV Shows, Romantic TV Shows, TV Comedies",2
"TV Show","TV Comedies, TV Dramas",2
Movie,"Dramas, Independent Movies, International Movies",2
Movie,"Documentaries, International Movies",2
Movie,"Action & Adventure, Horror Movies, Thrillers",2
"TV Show","Crime TV Shows, Docuseries, International TV Shows",2
Movie,Thrillers,2
"TV Show","Kids' TV, TV Comedies",2
Movie,"Action & Adventure",2
"TV Show","International TV Shows, TV Dramas",2
Movie,"Comedies, Dramas, International Movies",2
"TV Show","Crime TV Shows, Spanish-Language TV Shows, TV Dramas",1
"TV Show","International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",1
"TV Show","International TV Shows, TV Action & Adventure, TV Dramas",1
Movie,"Comedies, International Movies",1
Movie,"Comedies, International Movies, Romantic Movies",1
"TV Show","Docuseries, International TV Shows, Reality TV",1
Movie,Comedies,1
Movie,"Horror Movies, Sci-Fi & Fantasy",1
"TV Show","TV Comedies",1
"TV Show","British TV Shows, International TV Shows, TV Comedies",1
"TV Show","International TV Shows, TV Dramas, TV Thrillers",1
Movie,"Comedies, International Movies, Music & Musicals",1
Movie,"Action & Adventure, Dramas, International Movies",1
"TV Show","Docuseries, Reality TV",1
Movie,"Action & Adventure, Dramas",1
"TV Show","Kids' TV, TV Sci-Fi & Fantasy",1
Movie,"Action & Adventure, Classic Movies, Dramas",1
Movie,"Dramas, Horror Movies, Thrillers",1
Movie,"Dramas, International Movies, Thrillers",1
"TV Show","TV Dramas, TV Horror, TV Mysteries",1
Movie,"Dramas, Thrillers",1
"TV Show","British TV Shows, Reality TV",1
"TV Show","International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",1
Movie,"Comedies, Dramas",1
Movie,"Dramas, International Movies",1
"TV Show","Docuseries, International TV Shows",1
Movie,"Documentaries, International Movies, Sports Movies",1
"TV Show","International TV Shows, Reality TV, Romantic TV Shows",1
"TV Show","British TV Shows, Docuseries, International TV Shows",1
"TV Show","Anime Series, International TV Shows",1
"TV Show","British TV Shows, Crime TV Shows, Docuseries",1
"TV Show","Crime TV Shows, TV Comedies, TV Dramas",1
Movie,"Action & Adventure, Comedies, Dramas",1
"TV Show","Anime Series, Kids' TV",1
Movie,"International Movies, Thrillers",1
"TV Show","Kids' TV, Korean TV Shows",1
Movie,"Documentaries, Sports Movies",1
Movie,"Sci-Fi & Fantasy, Thrillers",1
Movie,"Dramas, International Movies, Romantic Movies",1
Movie,"Documentaries, Music & Musicals",1
"TV Show","Kids' TV, TV Comedies, TV Sci-Fi & Fantasy",1
"TV Show","British TV Shows, Kids' TV",1
