release_year,rating,total
1975,PG,1
1978,PG,1
1983,PG,1
1987,PG-13,1
1993,TV-MA,1
1994,TV-PG,1
1996,TV-PG,1
1997,TV-PG,1
1998,TV-14,1
2001,R,1
2001,TV-PG,1
2002,TV-14,1
2003,TV-14,1
2004,TV-PG,2
2005,TV-PG,1
2006,TV-PG,1
2007,TV-PG,1
2008,TV-PG,1
2009,TV-PG,1
2010,PG-13,1
2010,TV-14,1
2011,TV-14,1
2012,R,1
2013,PG-13,2
2013,TV-14,1
2014,TV-G,1
2014,TV-PG,1
2015,TV-PG,1
2017,PG-13,1
2017,TV-Y7,1
2018,PG,1
2018,TV-14,1
2018,TV-MA,1
2018,TV-Y7,1
2019,TV-MA,1
2019,TV-Y,1
2019,TV-Y7,1
2020,PG-13,1
2020,TV-14,1
2020,TV-MA,5
2020,TV-Y7,1
2021,PG,2
2021,PG-13,2
2021,R,1
2021,TV-14,9
2021,TV-G,1
2021,TV-MA,24
2021,TV-PG,4
2021,TV-Y,4
2021,TV-Y7,6
